 frequency       db(v(Vout))     180*cph(v(Vout))/pi v(Vout)         v(Vout)        
 1.58489319e+05 -6.21293401e-02 -7.36680560e+00  9.84677063e-01 -1.27307168e-01 
 1.77827941e+05 -7.76694600e-02 -8.25667317e+00  9.80824776e-01 -1.42329463e-01 
 1.99526231e+05 -9.71549625e-02 -9.25146190e+00  9.76013896e-01 -1.58979520e-01 
 2.23872114e+05 -1.21562707e-01 -1.03625114e+01  9.70018115e-01 -1.77375656e-01 
 2.51188643e+05 -1.52097426e-01 -1.16019764e+01  9.62564536e-01 -1.97620726e-01 
 2.81838293e+05 -1.90237101e-01 -1.29827181e+01  9.53327892e-01 -2.19790233e-01 
 3.16227766e+05 -2.37783074e-01 -1.45181135e+01  9.41926265e-01 -2.43916418e-01 
 3.54813389e+05 -2.96912846e-01 -1.62217583e+01  9.27919885e-01 -2.69967814e-01 
 3.98107171e+05 -3.70231831e-01 -1.81070367e+01  9.10815223e-01 -2.97824119e-01 
 4.46683592e+05 -4.60818023e-01 -2.01865286e+01  8.90077255e-01 -3.27247080e-01 
 5.01187234e+05 -5.72250498e-01 -2.24712399e+01  8.65153272e-01 -3.57849544e-01 
 5.62341325e+05 -7.08609965e-01 -2.49696543e+01  8.35511434e-01 -3.89066777e-01 
 6.30957344e+05 -8.74436653e-01 -2.76866405e+01  8.00696090e-01 -4.20136718e-01 
 7.07945784e+05 -1.07463062e+00 -3.06222956e+01  7.60398914e-01 -4.50098142e-01 
 7.94328235e+05 -1.31428221e+00 -3.37708628e+01  7.14540033e-01 -4.77816820e-01 
 8.91250938e+05 -1.59842882e+00 -3.71199207e+01  6.63346917e-01 -5.02047980e-01 
 1.00000000e+06 -1.93174792e+00 -4.06500755e+01  6.07412853e-01 -5.21537328e-01 
 1.12201845e+06 -2.31821475e+00 -4.43353702e+01  5.47714299e-01 -5.35152505e-01 
 1.25892541e+06 -2.76077049e+00 -4.81445428e+01  4.85570701e-01 -5.42024518e-01 
 1.41253754e+06 -3.26105651e+00 -5.20431078e+01  4.22542703e-01 -5.41669531e-01 
 1.58489319e+06 -3.81926737e+00 -5.59960573e+01  3.60282018e-01 -5.34060780e-01 
 1.77827941e+06 -4.43415383e+00 -5.99708170e+01  3.00362163e-01 -5.19631121e-01 
 1.99526231e+06 -5.10317926e+00 -6.39400383e+01  2.44125772e-01 -4.99205377e-01 
 2.23872114e+06 -5.82280005e+00 -6.78838595e+01  1.92578576e-01 -4.73880833e-01 
 2.51188643e+06 -6.58882248e+00 -7.17914261e+01  1.46344711e-01 -4.44885583e-01 
 2.81838293e+06 -7.39678310e+00 -7.56616521e+01  1.05680491e-01 -4.13444746e-01 
 3.16227766e+06 -8.24231175e+00 -7.95033643e+01  7.05309676e-02 -3.80675793e-01 
 3.54813389e+06 -9.12145723e+00 -8.33350784e+01  4.06087543e-02 -3.47521892e-01 
 3.98107171e+06 -1.00309798e+01 -8.71846775e+01  1.54768208e-02 -3.14721575e-01 
 4.46683592e+06 -1.09686415e+01 -9.10892357e+01 -5.37701185e-03 -2.82806537e-01 
 5.01187234e+06 -1.19335537e+01 -9.50951395e+01 -2.24793223e-02 -2.52117415e-01 
