 v-sweep         v(Vout)         v-sweep         v(V2)           v-sweep         v(V1)          
 7.40000000e-01  1.79775694e+00  7.40000000e-01  5.00000000e-01  7.40000000e-01  7.40000000e-01 
 7.50000000e-01  1.79775808e+00  7.50000000e-01  5.00000000e-01  7.50000000e-01  7.50000000e-01 
 7.60000000e-01  1.79775900e+00  7.60000000e-01  5.00000000e-01  7.60000000e-01  7.60000000e-01 
 7.70000000e-01  1.79775976e+00  7.70000000e-01  5.00000000e-01  7.70000000e-01  7.70000000e-01 
 7.80000000e-01  1.79776039e+00  7.80000000e-01  5.00000000e-01  7.80000000e-01  7.80000000e-01 
 7.90000000e-01  1.79776091e+00  7.90000000e-01  5.00000000e-01  7.90000000e-01  7.90000000e-01 
 8.00000000e-01  1.79776135e+00  8.00000000e-01  5.00000000e-01  8.00000000e-01  8.00000000e-01 
 8.10000000e-01  1.79776172e+00  8.10000000e-01  5.00000000e-01  8.10000000e-01  8.10000000e-01 
 8.20000000e-01  1.79776204e+00  8.20000000e-01  5.00000000e-01  8.20000000e-01  8.20000000e-01 
 8.30000000e-01  1.79776231e+00  8.30000000e-01  5.00000000e-01  8.30000000e-01  8.30000000e-01 
 8.40000000e-01  1.79776254e+00  8.40000000e-01  5.00000000e-01  8.40000000e-01  8.40000000e-01 
 8.50000000e-01  1.79776274e+00  8.50000000e-01  5.00000000e-01  8.50000000e-01  8.50000000e-01 
 8.60000000e-01  1.79776292e+00  8.60000000e-01  5.00000000e-01  8.60000000e-01  8.60000000e-01 
 8.70000000e-01  1.79776308e+00  8.70000000e-01  5.00000000e-01  8.70000000e-01  8.70000000e-01 
 8.80000000e-01  1.79776321e+00  8.80000000e-01  5.00000000e-01  8.80000000e-01  8.80000000e-01 
 8.90000000e-01  1.79776333e+00  8.90000000e-01  5.00000000e-01  8.90000000e-01  8.90000000e-01 
 9.00000000e-01  1.79776344e+00  9.00000000e-01  5.00000000e-01  9.00000000e-01  9.00000000e-01 
 9.10000000e-01  1.79776353e+00  9.10000000e-01  5.00000000e-01  9.10000000e-01  9.10000000e-01 
 9.20000000e-01  1.79776362e+00  9.20000000e-01  5.00000000e-01  9.20000000e-01  9.20000000e-01 
 9.30000000e-01  1.79776370e+00  9.30000000e-01  5.00000000e-01  9.30000000e-01  9.30000000e-01 
 9.40000000e-01  1.79776377e+00  9.40000000e-01  5.00000000e-01  9.40000000e-01  9.40000000e-01 
 9.50000000e-01  1.79776383e+00  9.50000000e-01  5.00000000e-01  9.50000000e-01  9.50000000e-01 
 9.60000000e-01  1.79776389e+00  9.60000000e-01  5.00000000e-01  9.60000000e-01  9.60000000e-01 
 9.70000000e-01  1.79776394e+00  9.70000000e-01  5.00000000e-01  9.70000000e-01  9.70000000e-01 
 9.80000000e-01  1.79776399e+00  9.80000000e-01  5.00000000e-01  9.80000000e-01  9.80000000e-01 
 9.90000000e-01  1.79776404e+00  9.90000000e-01  5.00000000e-01  9.90000000e-01  9.90000000e-01 
 1.00000000e+00  1.79776408e+00  1.00000000e+00  5.00000000e-01  1.00000000e+00  1.00000000e+00 
 1.01000000e+00  1.79776412e+00  1.01000000e+00  5.00000000e-01  1.01000000e+00  1.01000000e+00 
 1.02000000e+00  1.79776416e+00  1.02000000e+00  5.00000000e-01  1.02000000e+00  1.02000000e+00 
 1.03000000e+00  1.79776419e+00  1.03000000e+00  5.00000000e-01  1.03000000e+00  1.03000000e+00 
 1.04000000e+00  1.79776422e+00  1.04000000e+00  5.00000000e-01  1.04000000e+00  1.04000000e+00 
 1.05000000e+00  1.79776425e+00  1.05000000e+00  5.00000000e-01  1.05000000e+00  1.05000000e+00 
 1.06000000e+00  1.79776428e+00  1.06000000e+00  5.00000000e-01  1.06000000e+00  1.06000000e+00 
 1.07000000e+00  1.79776430e+00  1.07000000e+00  5.00000000e-01  1.07000000e+00  1.07000000e+00 
 1.08000000e+00  1.79776433e+00  1.08000000e+00  5.00000000e-01  1.08000000e+00  1.08000000e+00 
 1.09000000e+00  1.79776435e+00  1.09000000e+00  5.00000000e-01  1.09000000e+00  1.09000000e+00 
 1.10000000e+00  1.79776437e+00  1.10000000e+00  5.00000000e-01  1.10000000e+00  1.10000000e+00 
 1.11000000e+00  1.79776439e+00  1.11000000e+00  5.00000000e-01  1.11000000e+00  1.11000000e+00 
 1.12000000e+00  1.79776441e+00  1.12000000e+00  5.00000000e-01  1.12000000e+00  1.12000000e+00 
 1.13000000e+00  1.79776443e+00  1.13000000e+00  5.00000000e-01  1.13000000e+00  1.13000000e+00 
 1.14000000e+00  1.79776445e+00  1.14000000e+00  5.00000000e-01  1.14000000e+00  1.14000000e+00 
 1.15000000e+00  1.79776446e+00  1.15000000e+00  5.00000000e-01  1.15000000e+00  1.15000000e+00 
 1.16000000e+00  1.79776448e+00  1.16000000e+00  5.00000000e-01  1.16000000e+00  1.16000000e+00 
 1.17000000e+00  1.79776450e+00  1.17000000e+00  5.00000000e-01  1.17000000e+00  1.17000000e+00 
 1.18000000e+00  1.79776451e+00  1.18000000e+00  5.00000000e-01  1.18000000e+00  1.18000000e+00 
 1.19000000e+00  1.79776452e+00  1.19000000e+00  5.00000000e-01  1.19000000e+00  1.19000000e+00 
 1.20000000e+00  1.79776454e+00  1.20000000e+00  5.00000000e-01  1.20000000e+00  1.20000000e+00 
 1.21000000e+00  1.79776455e+00  1.21000000e+00  5.00000000e-01  1.21000000e+00  1.21000000e+00 
 1.22000000e+00  1.79776456e+00  1.22000000e+00  5.00000000e-01  1.22000000e+00  1.22000000e+00 
 1.23000000e+00  1.79776457e+00  1.23000000e+00  5.00000000e-01  1.23000000e+00  1.23000000e+00 
 1.24000000e+00  1.79776459e+00  1.24000000e+00  5.00000000e-01  1.24000000e+00  1.24000000e+00 
 1.25000000e+00  1.79776460e+00  1.25000000e+00  5.00000000e-01  1.25000000e+00  1.25000000e+00 
 1.26000000e+00  1.79776461e+00  1.26000000e+00  5.00000000e-01  1.26000000e+00  1.26000000e+00 
 1.27000000e+00  1.79776462e+00  1.27000000e+00  5.00000000e-01  1.27000000e+00  1.27000000e+00 
 1.28000000e+00  1.79776463e+00  1.28000000e+00  5.00000000e-01  1.28000000e+00  1.28000000e+00 
 1.29000000e+00  1.79776464e+00  1.29000000e+00  5.00000000e-01  1.29000000e+00  1.29000000e+00 
