 v-sweep         v(Vout)         v(V1)           v(V2)          
 1.69000000e-01  2.21441537e-02  1.69000000e-01  5.00000000e-01 
 1.70000000e-01  2.21442598e-02  1.70000000e-01  5.00000000e-01 
 1.71000000e-01  2.21443666e-02  1.71000000e-01  5.00000000e-01 
 1.72000000e-01  2.21444756e-02  1.72000000e-01  5.00000000e-01 
 1.73000000e-01  2.21445878e-02  1.73000000e-01  5.00000000e-01 
 1.74000000e-01  2.21447043e-02  1.74000000e-01  5.00000000e-01 
 1.75000000e-01  2.21448235e-02  1.75000000e-01  5.00000000e-01 
 1.76000000e-01  2.21449458e-02  1.76000000e-01  5.00000000e-01 
 1.77000000e-01  2.21450708e-02  1.77000000e-01  5.00000000e-01 
 1.78000000e-01  2.21451994e-02  1.78000000e-01  5.00000000e-01 
 1.79000000e-01  2.21453327e-02  1.79000000e-01  5.00000000e-01 
 1.80000000e-01  2.21454675e-02  1.80000000e-01  5.00000000e-01 
 1.81000000e-01  2.21456070e-02  1.81000000e-01  5.00000000e-01 
 1.82000000e-01  2.21457522e-02  1.82000000e-01  5.00000000e-01 
 1.83000000e-01  2.21458985e-02  1.83000000e-01  5.00000000e-01 
 1.84000000e-01  2.21460511e-02  1.84000000e-01  5.00000000e-01 
 1.85000000e-01  2.21462041e-02  1.85000000e-01  5.00000000e-01 
 1.86000000e-01  2.21463665e-02  1.86000000e-01  5.00000000e-01 
 1.87000000e-01  2.21465292e-02  1.87000000e-01  5.00000000e-01 
 1.88000000e-01  2.21466978e-02  1.88000000e-01  5.00000000e-01 
 1.89000000e-01  2.21468705e-02  1.89000000e-01  5.00000000e-01 
 1.90000000e-01  2.21470482e-02  1.90000000e-01  5.00000000e-01 
 1.91000000e-01  2.21472303e-02  1.91000000e-01  5.00000000e-01 
 1.92000000e-01  2.21474189e-02  1.92000000e-01  5.00000000e-01 
 1.93000000e-01  2.21476134e-02  1.93000000e-01  5.00000000e-01 
 1.94000000e-01  2.21478109e-02  1.94000000e-01  5.00000000e-01 
 1.95000000e-01  2.21480136e-02  1.95000000e-01  5.00000000e-01 
 1.96000000e-01  2.21482214e-02  1.96000000e-01  5.00000000e-01 
 1.97000000e-01  2.21484369e-02  1.97000000e-01  5.00000000e-01 
 1.98000000e-01  2.21486561e-02  1.98000000e-01  5.00000000e-01 
 1.99000000e-01  2.21488843e-02  1.99000000e-01  5.00000000e-01 
 2.00000000e-01  2.21491180e-02  2.00000000e-01  5.00000000e-01 
 2.01000000e-01  2.21493571e-02  2.01000000e-01  5.00000000e-01 
 2.02000000e-01  2.21496010e-02  2.02000000e-01  5.00000000e-01 
 2.03000000e-01  2.21498541e-02  2.03000000e-01  5.00000000e-01 
 2.04000000e-01  2.21501135e-02  2.04000000e-01  5.00000000e-01 
 2.05000000e-01  2.21503779e-02  2.05000000e-01  5.00000000e-01 
 2.06000000e-01  2.21506509e-02  2.06000000e-01  5.00000000e-01 
 2.07000000e-01  2.21509328e-02  2.07000000e-01  5.00000000e-01 
 2.08000000e-01  2.21512199e-02  2.08000000e-01  5.00000000e-01 
 2.09000000e-01  2.21515178e-02  2.09000000e-01  5.00000000e-01 
 2.10000000e-01  2.21518217e-02  2.10000000e-01  5.00000000e-01 
 2.11000000e-01  2.21521344e-02  2.11000000e-01  5.00000000e-01 
 2.12000000e-01  2.21524555e-02  2.12000000e-01  5.00000000e-01 
 2.13000000e-01  2.21527836e-02  2.13000000e-01  5.00000000e-01 
 2.14000000e-01  2.21531238e-02  2.14000000e-01  5.00000000e-01 
 2.15000000e-01  2.21534698e-02  2.15000000e-01  5.00000000e-01 
 2.16000000e-01  2.21538282e-02  2.16000000e-01  5.00000000e-01 
 2.17000000e-01  2.21541939e-02  2.17000000e-01  5.00000000e-01 
 2.18000000e-01  2.21545729e-02  2.18000000e-01  5.00000000e-01 
 2.19000000e-01  2.21549603e-02  2.19000000e-01  5.00000000e-01 
